Country,Year,Value
Russian Federation,2014,1671568.652
Russian Federation,2013,1666644.423
Russian Federation,2012,1727489.104
Russian Federation,2011,1717221.951
Russian Federation,2010,1662592.259
Russian Federation,2009,1576703.967
Russian Federation,2008,1684999.823
Russian Federation,2007,1653139.056
Russian Federation,2006,1653289.193
Russian Federation,2005,1593933.344
Russian Federation,2004,1575180.86
Russian Federation,2003,1568510.143
Russian Federation,2002,1531200.212
Russian Federation,2001,1542500.065
Russian Federation,2000,1504182.729
Russian Federation,1999,1512651.931
Russian Federation,1998,1476588.925
Russian Federation,1997,1502079.866
Russian Federation,1996,1581293.22
Russian Federation,1995,1629496.298
Russian Federation,1994,1685494.547
Russian Federation,1993,1909577.84
Russian Federation,1992,2013175.482
Russian Federation,1991,2433187.645
Russian Federation,1990,2589725.306
